skill_code,skill_title,bank,question_id,question,options,correct_answer,explanation,response_type,question_type,cognitive_demand,acceptance_note,visual,ixl_reference_url,curriculum_source,qa_status
AC9M1A02,Repeating Patterns,test,T07,"The pattern repeats ★ ● ▲.
★ ● ▲ ★ __ __
Which two shapes fill the gaps in order?","{""A"": ""● ▲"", ""B"": ""★ ●"", ""C"": ""▲ ●""}",A,"After the star, finish the unit with a circle and a triangle.",mcq,continue_incomplete_unit,apply,,"{""type"": ""pattern"", ""rows"": [[""★"", ""●"", ""▲"", ""★"", ""__"", ""__""]], ""labels"": [""Repeating pattern""]}",https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T08,"Use this repeating unit: 2, 2, 5.
Write a pattern that shows the unit three times.",{},"2, 2, 5, 2, 2, 5, 2, 2, 5","Keep the order 2, 2, 5 each time you repeat the unit.",short_answer,create_number_pattern_from_unit,create,"Accept exactly three consecutive copies of 2, 2, 5; separators are optional.",null,https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T09,"Look at the repeating pattern.
▲ ● ▲ ● ▲ ● ▲ ●
Which is its smallest repeating unit?","{""A"": ""▲ ● ▲"", ""B"": ""▲ ●"", ""C"": ""▲ ● ▲ ●""}",B,The pair ▲ ● is enough to repeat and make the whole pattern. The four-shape group is a larger repeated group.,mcq,choose_smallest_valid_unit,reason,,"{""type"": ""pattern"", ""rows"": [[""▲"", ""●"", ""▲"", ""●"", ""▲"", ""●"", ""▲"", ""●""]], ""labels"": [""Repeating pattern""]}",https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T10,"A border repeats this unit: ■ ● ●.
The border so far is: ■ ● ● | ■ ● ●
Which change keeps that same unit?","{""A"": ""Add ■ ● ● at the end"", ""B"": ""Add ■ ■ ● at the end"", ""C"": ""Add ● ■ ● at the end""}",A,Adding another complete ■ ● ● unit keeps the pattern repeating correctly.,mcq,choose_valid_whole_unit_extension,reason,,"{""type"": ""pattern"", ""rows"": [[""■"", ""●"", ""●"", ""|"", ""■"", ""●"", ""●""]], ""labels"": [""Border so far""]}",https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T11,"The pattern should repeat 8, 1.
8, 1, 8, 8, 8, 1
Which number should replace the fourth number?","{""A"": ""1"", ""B"": ""2"", ""C"": ""8""}",A,"The correct pattern is 8, 1, 8, 1, 8, 1.",mcq,repair_number_pattern,reason,,null,https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T12,"Make a repeating pattern using “tap, clap, clap” as the unit.
Write or show the unit two times.",{},"tap, clap, clap, tap, clap, clap",The complete three-action unit repeats twice.,short_answer,create_action_pattern_from_unit,create,"Accept tap, clap, clap, tap, clap, clap in order, written or demonstrated.",null,https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T13,"The row repeats: shell, shell, stone, shell, shell, stone.
How many objects are in the smallest repeating unit?","{""A"": ""2"", ""B"": ""3"", ""C"": ""6""}",B,"The unit shell, shell, stone contains three objects.",mcq,count_object_unit_length,apply,,null,https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T14,"The pattern repeats ● ● ▲.
● ● ▲ ● ● ▲ ● __ __
Which pair fills the gaps in order?","{""A"": ""▲ ●"", ""B"": ""▲ ▲"", ""C"": ""● ▲""}",C,The last unit has its first circle. It still needs one circle and one triangle.,mcq,complete_unit_after_partial_start,apply,,"{""type"": ""pattern"", ""rows"": [[""●"", ""●"", ""▲"", ""●"", ""●"", ""▲"", ""●"", ""__"", ""__""]], ""labels"": [""Repeating pattern""]}",https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T15,"A pattern repeats the unit 1, 3, 3.
Which row follows the rule?","{""A"": ""1, 3, 1, 3, 1, 3"", ""B"": ""1, 3, 3, 1, 3, 3"", ""C"": ""1, 3, 3, 3, 1, 3""}",B,"Repeat all three numbers in order: 1, 3, 3.",mcq,select_number_pattern_for_unit,apply,,null,https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1A02,Repeating Patterns,test,T16,"Choose two different shapes. Make a repeating unit with two of the first shape, then one of the second shape.
Show your unit two times.",{},■ ■ ● ■ ■ ●,"One possible unit is square, square, circle. Repeating it twice gives ■ ■ ● ■ ■ ●.",short_answer,create_pattern_with_chosen_unit,create,"Accept any six-shape AABAAB pattern with A and B different, drawn or written as shape names.",null,https://au.ixl.com/maths/year-1/make-a-pattern,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P01,Two strips start at the same place. Strip A ends before strip B. Which strip is longer?,"{""A"": ""They are the same length."", ""B"": ""Strip A"", ""C"": ""Strip B""}",C,"From the same starting point, the strip that reaches further is longer.",mcq,aligned endpoint comparison,recognise,,"{""type"": ""bars"", ""bars"": [{""label"": ""A"", ""units"": 4}, {""label"": ""B"", ""units"": 7}], ""caption"": ""Both objects start at the same place. Each block is the same length.""}",https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P02,A balance has a stone on one side and a shell on the other. The stone side goes down. Which is heavier?,"{""A"": ""They have the same mass."", ""B"": ""The shell"", ""C"": ""The stone""}",C,The heavier side of a balance goes down.,mcq,balance comparison,recognise,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P03,Cup A is full of water. All its water is poured into empty cup B. Cup B is not full yet. Which cup holds more when full?,"{""A"": ""Cup B"", ""B"": ""They hold the same amount."", ""C"": ""Cup A""}",A,Cup B holds all the water from A and still has room for more.,mcq,transfer capacity comparison,apply,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P04,Two toy cars start moving together. Car A stops first. Car B keeps moving. Which car moves for a longer time?,{},Car B,Car B keeps moving after car A stops.,short_answer,common start duration comparison,recognise,Accept B or car B.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P05,A card is shorter than a pencil. A bookmark is longer than the same pencil. Which is longer: the card or the bookmark?,"{""A"": ""They are the same length."", ""B"": ""The card"", ""C"": ""The bookmark""}",C,"The card is shorter than the pencil, but the bookmark is longer than it. So the bookmark is longer than the card.",mcq,compare lengths through common reference,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P06,A lunch box is lighter than a bag. The bag is lighter than a basket. Which order goes from lightest to heaviest?,"{""A"": ""Basket, bag, lunch box"", ""B"": ""Bag, lunch box, basket"", ""C"": ""Lunch box, bag, basket""}",C,The lunch box is lightest. The basket is heaviest.,mcq,mass ordering,apply,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P07,"Fill each container using the same little cup.
Jug: 5 cupfuls
Bottle: 3 cupfuls
Which holds more?","{""A"": ""The jug"", ""B"": ""They hold the same amount."", ""C"": ""The bottle""}",A,The jug takes more of the same cupfuls to fill.,mcq,capacity benchmark comparison,apply,,"{""type"": ""table"", ""headers"": [""Container"", ""Cupfuls to fill""], ""rows"": [[""Jug"", ""5""], [""Bottle"", ""3""]]}",https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P08,Jo and Sam start together. Jo finishes a puzzle first. Sam finishes a drawing later. Which activity took less time?,{},The puzzle,The puzzle finished first when both activities had the same start.,short_answer,common start duration comparison,apply,"Accept puzzle, Jo, or Jo’s puzzle.",null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P09,Two pencils have their tips lined up. Their other ends also line up. What is true?,"{""A"": ""One pencil must be longer."", ""B"": ""We must weigh them."", ""C"": ""They are the same length.""}",C,Matching both ends shows that the pencils have equal lengths.,mcq,length equality check,recognise,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P10,A big empty box and a small stone sit on a balance. The balance is level. What does this show?,"{""A"": ""The stone is heavier because it is smaller."", ""B"": ""They have the same mass."", ""C"": ""The box is heavier because it is bigger.""}",B,A level balance shows equal mass. Size alone does not tell us the mass.,mcq,mass evidence over appearance,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P11,A wide bowl and a tall jar each hold exactly 4 of the same cupfuls when full. What is true?,"{""A"": ""They have the same capacity."", ""B"": ""The bowl holds more because it is wider."", ""C"": ""The jar holds more because it is taller.""}",A,"Both hold the same number of equal cupfuls, so their capacities are equal.",mcq,capacity equality check,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P12,"Three races start together. The red car stops first, the blue car stops next, and the green car stops last. Put the colours in order from shortest to longest moving time.",{},"Red, blue, green","With the same start, the first car to stop moves for the shortest time.",short_answer,duration ordering,apply,Accept the three colours or car names in this order.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P13,A book and a drawer are in different rooms. How could you compare their lengths?,"{""A"": ""Guess from the book’s colour."", ""B"": ""Use string to copy the book’s length, then compare the string with the drawer’s length."", ""C"": ""Compare how heavy they are.""}",B,A piece of string can carry the book’s length to the drawer for an indirect comparison.,mcq,choose indirect length method,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P14,A toy and 3 equal blocks balance. A ball and 5 of the same blocks balance. Which is heavier?,"{""A"": ""The ball"", ""B"": ""They have the same mass."", ""C"": ""The toy""}",A,"The ball balances more of the same blocks, so it is heavier.",mcq,indirect mass benchmark,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P15,Container A holds more than B. Container C holds more than A. Which holds the most?,"{""A"": ""Container B"", ""B"": ""Container C"", ""C"": ""Container A""}",B,"C holds more than A, and A holds more than B.",mcq,indirect capacity ordering,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P16,Two songs start together. Song A is still playing after song B ends. Which song is longer? Give a reason.,{},"Song A, because it keeps playing after song B ends.","When two songs start together, the one that ends later lasts longer.",short_answer,justify duration comparison,reason,Accept A with a reason referring to its later finish or continued playing.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P17,Two sticks lie on a table with their starting ends in different places. How can you compare their lengths fairly?,"{""A"": ""Move the shorter-looking stick further forward."", ""B"": ""Line up one end of each stick."", ""C"": ""Compare their colours.""}",B,Lining up the starting ends lets you compare how far each stick reaches.,mcq,repair direct length comparison,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P18,A teddy and a bag balance. The bag is heavier than a ball. Which is heavier: the teddy or the ball?,"{""A"": ""The teddy"", ""B"": ""They have the same mass."", ""C"": ""The ball""}",A,"The teddy has the same mass as the bag. The bag is heavier than the ball, so the teddy is too.",mcq,mass equality inference,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P19,"A full bottle exactly fills an empty jug, with no water left over. What can you say?","{""A"": ""The bottle and jug have the same capacity."", ""B"": ""The jug has a greater capacity."", ""C"": ""The bottle has a greater capacity.""}",A,An exact transfer with no space or water left over shows equal capacities.,mcq,exact transfer equality,apply,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P20,Ribbon A is shorter than ribbon B. Ribbon C is longer than ribbon B. Write the ribbons from shortest to longest.,{},"A, B, C","A is shorter than B, and C is longer than B.",short_answer,indirect length ordering,apply,Accept ribbon names in this order.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P21,Two paper spinners start and stop together. What is true about their spinning times?,"{""A"": ""The larger spinner spins for longer."", ""B"": ""The smaller spinner spins for longer."", ""C"": ""They spin for the same time.""}",C,The same start and the same finish mean the spinning times are equal.,mcq,duration equality check,recognise,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P22,A rope reaches further than a stick when one end of each is lined up. Why is the rope longer?,"{""A"": ""It has a different colour."", ""B"": ""Its far end reaches beyond the stick’s far end."", ""C"": ""It is softer than the stick.""}",B,Length is compared by how far each object reaches from the same start.,mcq,justify length comparison,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P23,You pour water from a full cup into an empty pot. The pot fills while some water is still in the cup. Which holds less?,"{""A"": ""They hold the same amount."", ""B"": ""The pot"", ""C"": ""The cup""}",B,"The pot fills before all the cup’s water has been used, so it holds less.",mcq,overflow capacity reasoning,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",practice,P24,You have two bags and a balance. How could you find which bag is heavier?,{},Put one bag on each side of the balance. The side that goes down has the heavier bag.,A balance compares mass directly. A level balance would show that the bags have the same mass.,short_answer,design mass comparison,create,Accept placing a bag on each side and identifying the lower side as heavier; mentioning equal mass is optional.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T01,Two straws start at the same line. Straw X reaches further than straw Y. Which is shorter?,"{""A"": ""They are the same length."", ""B"": ""Straw Y"", ""C"": ""Straw X""}",B,"With one end lined up, the straw that does not reach as far is shorter.",mcq,aligned endpoint comparison,apply,,"{""type"": ""bars"", ""bars"": [{""label"": ""X"", ""units"": 6}, {""label"": ""Y"", ""units"": 3}], ""caption"": ""Both objects start at the same place. Each block is the same length.""}",https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T02,A balance has a toy boat and a toy train. The train side is lower. What is true?,"{""A"": ""The train is heavier."", ""B"": ""The boat is heavier."", ""C"": ""They have the same mass.""}",A,The lower side of a balance holds the heavier object.,mcq,balance comparison,apply,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T03,"The same cup is used to fill three empty containers.
A: 2 cupfuls
B: 6 cupfuls
C: 4 cupfuls
Which order goes from least to greatest capacity?","{""A"": ""A, B, C"", ""B"": ""A, C, B"", ""C"": ""B, C, A""}",B,"Fewer equal cupfuls means a smaller capacity: 2, then 4, then 6.",mcq,capacity benchmark ordering,apply,,"{""type"": ""table"", ""headers"": [""Container"", ""Cupfuls to fill""], ""rows"": [[""A"", ""2""], [""B"", ""6""], [""C"", ""4""]]}",https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T04,A walk and a game begin together. The walk ends while the game is still going. Which activity lasts longer?,{},The game,"The game continues after the walk ends, although they began together.",short_answer,common start duration comparison,apply,Accept game.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T05,A string is the same length as a brush. A pencil is shorter than the string. Which is longer: the brush or the pencil?,"{""A"": ""The pencil"", ""B"": ""They are the same length."", ""C"": ""The brush""}",C,"The brush matches the string, and the pencil is shorter than the string.",mcq,length equality inference,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T06,Bag A balances 2 equal blocks. Bag B balances 4 of the same blocks. Bag C balances 3 of them. Which bag is lightest?,"{""A"": ""Bag A"", ""B"": ""Bag C"", ""C"": ""Bag B""}",A,Bag A balances the fewest of the same blocks.,mcq,indirect mass benchmark,apply,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T07,"A full jug is poured into an empty bucket. All the water fits, and the bucket still has room. Why does the bucket have a greater capacity?","{""A"": ""It can hold the jug’s water and more."", ""B"": ""It must be heavier."", ""C"": ""It must be a different colour.""}",A,The unused space shows that the bucket can hold more water than the jug.,mcq,justify capacity comparison,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T08,"Three children start building at the same time. Lee finishes first, Pat finishes second, and Ari finishes last. Who spends the longest time building?",{},Ari,"With the same start, the last person to finish spends the longest time building.",short_answer,duration ordering,apply,Accept Ari.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T09,A box looks bigger than a parcel. How can you check which has more mass?,"{""A"": ""Choose the bigger one."", ""B"": ""Measure which is longer."", ""C"": ""Put them on opposite sides of a balance.""}",C,A balance compares mass. A bigger size does not always mean more mass.,mcq,choose mass comparison method,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T10,A ribbon is longer than a spoon. The spoon is longer than a key. Which statement must be true?,"{""A"": ""The ribbon and key have equal lengths."", ""B"": ""The ribbon is longer than the key."", ""C"": ""The key is longer than the ribbon.""}",B,"The ribbon is longer than the spoon, which is already longer than the key.",mcq,indirect length ordering,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T11,A bowl takes 3 full cups to fill. A pot takes 3 full mugs. The cups and mugs have different sizes. Can you tell which container holds more from these counts?,"{""A"": ""Yes, the bowl must hold more."", ""B"": ""No, the measuring containers are different sizes."", ""C"": ""Yes, they must hold the same amount.""}",B,The same count does not show equal capacity when the cupfuls have different sizes.,mcq,critique capacity evidence,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T12,Two timers start together and ring together. Compare the times they measured.,{},They measured the same time.,Matching starts and finishes show equal durations.,short_answer,duration equality check,apply,Accept equal times or same duration.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T13,A toy is heavier than a sock but lighter than a book. Which order is from heaviest to lightest?,"{""A"": ""Toy, book, sock"", ""B"": ""Sock, toy, book"", ""C"": ""Book, toy, sock""}",C,"The book is heaviest, then the toy, then the sock.",mcq,mass ordering,apply,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T14,You want to compare the widths of two doors in different rooms. What could help?,"{""A"": ""Open both doors and guess from their sounds."", ""B"": ""Compare the doors’ colours."", ""C"": ""Use a string to copy one width and compare it with the other.""}",C,String can carry one door’s width to the other door for an indirect comparison.,mcq,choose indirect length method,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T15,"Two songs start together. A child says, “Song A is longer because it is louder.” What would actually show that A lasts longer?","{""A"": ""A is still playing when B ends."", ""B"": ""A has more clapping sounds."", ""C"": ""A is sung by more people.""}",A,The later finish shows a longer duration when both songs start together.,mcq,critique duration evidence,reason,,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M01,"Comparing Length, Mass, Capacity and Duration",test,T16,A full can exactly fills an empty bowl. No water spills and none is left in the can. Compare their capacities and explain.,{},They have the same capacity because the can’s water exactly fills the bowl.,The exact transfer shows that both containers hold the same amount when full.,short_answer,justify capacity equality,reason,Accept equal/same capacity with a reason about exactly filling the bowl.,null,https://au.ixl.com/maths/year-1/indirect-comparison,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1M02,Measuring Length with Informal Units,practice,P01,A strip is covered from end to end by 4 equal blocks. There are no gaps or overlaps. How long is the strip?,"{""A"": ""4 blocks"", ""B"": ""5 blocks"", ""C"": ""3 blocks""}",A,Each block is one length unit. Four blocks cover the strip exactly.,mcq,count informal units,recognise,,"{""type"": ""bars"", ""bars"": [{""label"": ""Strip"", ""units"": 4}], ""caption"": ""Four equal blocks cover the strip with no gaps or overlaps.""}",https://au.ixl.com/maths/year-1/measure-length-with-objects,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
